A;1;82e6e2a2-dfe9-435e-b47f-2627b3b15270
C;2;82e6e2a2-dfe9-435e-b47f-2627b3b15270
A;3;82e6e2a2-dfe9-435e-b47f-2627b3b15270
B;4;82e6e2a2-dfe9-435e-b47f-2627b3b15270
C;5;82e6e2a2-dfe9-435e-b47f-2627b3b15270
A;6;82e6e2a2-dfe9-435e-b47f-2627b3b15270
A;7;82e6e2a2-dfe9-435e-b47f-2627b3b15270
D;8;82e6e2a2-dfe9-435e-b47f-2627b3b15270
B;9;82e6e2a2-dfe9-435e-b47f-2627b3b15270
B;10;82e6e2a2-dfe9-435e-b47f-2627b3b15270
B;1;0366fb48-0ec5-4076-9eb1-fd104f85de4e
B;2;0366fb48-0ec5-4076-9eb1-fd104f85de4e
B;3;0366fb48-0ec5-4076-9eb1-fd104f85de4e
A;4;0366fb48-0ec5-4076-9eb1-fd104f85de4e
D;5;0366fb48-0ec5-4076-9eb1-fd104f85de4e
A;6;0366fb48-0ec5-4076-9eb1-fd104f85de4e
C;7;0366fb48-0ec5-4076-9eb1-fd104f85de4e
C;8;0366fb48-0ec5-4076-9eb1-fd104f85de4e
A;9;0366fb48-0ec5-4076-9eb1-fd104f85de4e
D;10;0366fb48-0ec5-4076-9eb1-fd104f85de4e
C;1;86e3e573-4b44-48e4-84e8-25fd2cb9be87
A;2;86e3e573-4b44-48e4-84e8-25fd2cb9be87
C;3;86e3e573-4b44-48e4-84e8-25fd2cb9be87
C;4;86e3e573-4b44-48e4-84e8-25fd2cb9be87
A;5;86e3e573-4b44-48e4-84e8-25fd2cb9be87
C;6;86e3e573-4b44-48e4-84e8-25fd2cb9be87
B;7;86e3e573-4b44-48e4-84e8-25fd2cb9be87
B;8;86e3e573-4b44-48e4-84e8-25fd2cb9be87
A;9;86e3e573-4b44-48e4-84e8-25fd2cb9be87
B;10;86e3e573-4b44-48e4-84e8-25fd2cb9be87
D;1;2b3a7f05-81b4-4558-87e4-8cafc87363eb
B;2;2b3a7f05-81b4-4558-87e4-8cafc87363eb
D;3;2b3a7f05-81b4-4558-87e4-8cafc87363eb
A;4;2b3a7f05-81b4-4558-87e4-8cafc87363eb
C;5;2b3a7f05-81b4-4558-87e4-8cafc87363eb
D;6;2b3a7f05-81b4-4558-87e4-8cafc87363eb
C;7;2b3a7f05-81b4-4558-87e4-8cafc87363eb
B;8;2b3a7f05-81b4-4558-87e4-8cafc87363eb
A;9;2b3a7f05-81b4-4558-87e4-8cafc87363eb
B;10;2b3a7f05-81b4-4558-87e4-8cafc87363eb
D;1;8fac40bb-e687-45df-868a-cdcd26b38b2a
A;2;8fac40bb-e687-45df-868a-cdcd26b38b2a
B;3;8fac40bb-e687-45df-868a-cdcd26b38b2a
A;4;8fac40bb-e687-45df-868a-cdcd26b38b2a
A;5;8fac40bb-e687-45df-868a-cdcd26b38b2a
A;6;8fac40bb-e687-45df-868a-cdcd26b38b2a
C;7;8fac40bb-e687-45df-868a-cdcd26b38b2a
A;8;8fac40bb-e687-45df-868a-cdcd26b38b2a
A;9;8fac40bb-e687-45df-868a-cdcd26b38b2a
D;10;8fac40bb-e687-45df-868a-cdcd26b38b2a
D;1;41417888-f74e-4edb-9d23-6615980b1110
B;2;41417888-f74e-4edb-9d23-6615980b1110
B;3;41417888-f74e-4edb-9d23-6615980b1110
C;4;41417888-f74e-4edb-9d23-6615980b1110
C;5;41417888-f74e-4edb-9d23-6615980b1110
B;6;41417888-f74e-4edb-9d23-6615980b1110
C;7;41417888-f74e-4edb-9d23-6615980b1110
B;8;41417888-f74e-4edb-9d23-6615980b1110
C;9;41417888-f74e-4edb-9d23-6615980b1110
D;10;41417888-f74e-4edb-9d23-6615980b1110
D;1;a01689fc-81de-4542-ae98-ec54af95c87d
B;2;a01689fc-81de-4542-ae98-ec54af95c87d
C;3;a01689fc-81de-4542-ae98-ec54af95c87d
C;4;a01689fc-81de-4542-ae98-ec54af95c87d
C;5;a01689fc-81de-4542-ae98-ec54af95c87d
B;6;a01689fc-81de-4542-ae98-ec54af95c87d
B;7;a01689fc-81de-4542-ae98-ec54af95c87d
C;8;a01689fc-81de-4542-ae98-ec54af95c87d
D;9;a01689fc-81de-4542-ae98-ec54af95c87d
B;10;a01689fc-81de-4542-ae98-ec54af95c87d
D;1;4286936e-53b8-4545-9f3f-efc6190220e3
B;2;4286936e-53b8-4545-9f3f-efc6190220e3
B;3;4286936e-53b8-4545-9f3f-efc6190220e3
C;4;4286936e-53b8-4545-9f3f-efc6190220e3
D;5;4286936e-53b8-4545-9f3f-efc6190220e3
A;6;4286936e-53b8-4545-9f3f-efc6190220e3
A;7;4286936e-53b8-4545-9f3f-efc6190220e3
A;8;4286936e-53b8-4545-9f3f-efc6190220e3
C;9;4286936e-53b8-4545-9f3f-efc6190220e3
D;10;4286936e-53b8-4545-9f3f-efc6190220e3
A;1;11d63e8e-7e0b-4e22-b0dd-ef16c5af119f
B;2;11d63e8e-7e0b-4e22-b0dd-ef16c5af119f
B;3;11d63e8e-7e0b-4e22-b0dd-ef16c5af119f
B;4;11d63e8e-7e0b-4e22-b0dd-ef16c5af119f
A;5;11d63e8e-7e0b-4e22-b0dd-ef16c5af119f
A;6;11d63e8e-7e0b-4e22-b0dd-ef16c5af119f
A;7;11d63e8e-7e0b-4e22-b0dd-ef16c5af119f
B;8;11d63e8e-7e0b-4e22-b0dd-ef16c5af119f
D;9;11d63e8e-7e0b-4e22-b0dd-ef16c5af119f
B;10;11d63e8e-7e0b-4e22-b0dd-ef16c5af119f
B;1;7ca1561e-8e67-4c93-bece-caf45b389a6a
C;2;7ca1561e-8e67-4c93-bece-caf45b389a6a
C;3;7ca1561e-8e67-4c93-bece-caf45b389a6a
C;4;7ca1561e-8e67-4c93-bece-caf45b389a6a
C;5;7ca1561e-8e67-4c93-bece-caf45b389a6a
A;6;7ca1561e-8e67-4c93-bece-caf45b389a6a
D;7;7ca1561e-8e67-4c93-bece-caf45b389a6a
D;8;7ca1561e-8e67-4c93-bece-caf45b389a6a
C;9;7ca1561e-8e67-4c93-bece-caf45b389a6a
C;10;7ca1561e-8e67-4c93-bece-caf45b389a6a
A;1;c8110b0a-5f7c-4f46-a562-070b884e19d0
B;2;c8110b0a-5f7c-4f46-a562-070b884e19d0
B;3;c8110b0a-5f7c-4f46-a562-070b884e19d0
B;4;c8110b0a-5f7c-4f46-a562-070b884e19d0
D;5;c8110b0a-5f7c-4f46-a562-070b884e19d0
A;6;c8110b0a-5f7c-4f46-a562-070b884e19d0
B;7;c8110b0a-5f7c-4f46-a562-070b884e19d0
A;8;c8110b0a-5f7c-4f46-a562-070b884e19d0
B;9;c8110b0a-5f7c-4f46-a562-070b884e19d0
B;10;c8110b0a-5f7c-4f46-a562-070b884e19d0
D;1;23de9596-e3f8-41d8-a260-2ec29a99fb33
C;2;23de9596-e3f8-41d8-a260-2ec29a99fb33
A;3;23de9596-e3f8-41d8-a260-2ec29a99fb33
D;4;23de9596-e3f8-41d8-a260-2ec29a99fb33
A;5;23de9596-e3f8-41d8-a260-2ec29a99fb33
D;6;23de9596-e3f8-41d8-a260-2ec29a99fb33
D;7;23de9596-e3f8-41d8-a260-2ec29a99fb33
B;8;23de9596-e3f8-41d8-a260-2ec29a99fb33
B;9;23de9596-e3f8-41d8-a260-2ec29a99fb33
C;10;23de9596-e3f8-41d8-a260-2ec29a99fb33
C;1;573fdfa8-fd5f-43fe-972c-3d2467af077a
A;2;573fdfa8-fd5f-43fe-972c-3d2467af077a
C;3;573fdfa8-fd5f-43fe-972c-3d2467af077a
A;4;573fdfa8-fd5f-43fe-972c-3d2467af077a
D;5;573fdfa8-fd5f-43fe-972c-3d2467af077a
B;6;573fdfa8-fd5f-43fe-972c-3d2467af077a
B;7;573fdfa8-fd5f-43fe-972c-3d2467af077a
C;8;573fdfa8-fd5f-43fe-972c-3d2467af077a
D;9;573fdfa8-fd5f-43fe-972c-3d2467af077a
A;10;573fdfa8-fd5f-43fe-972c-3d2467af077a
A;1;aacdd544-c94c-4790-9b35-4d8b318b41f1
B;2;aacdd544-c94c-4790-9b35-4d8b318b41f1
B;3;aacdd544-c94c-4790-9b35-4d8b318b41f1
